epoch,acc@1,acc@5,train_loss,val_loss
235,75.074,92.060,2.499,1.071
236,75.060,92.054,2.498,1.071
237,75.068,92.046,2.495,1.071
238,75.078,92.064,2.494,1.070
239,75.098,92.062,2.492,1.069
240,75.094,92.080,2.492,1.069
241,75.104,92.108,2.490,1.068
242,75.108,92.114,2.486,1.068
243,75.166,92.094,2.486,1.068
244,75.170,92.084,2.480,1.067
245,75.186,92.090,2.481,1.067
246,75.230,92.124,2.478,1.067
247,75.192,92.104,2.476,1.066
248,75.194,92.102,2.478,1.066
249,75.200,92.084,2.475,1.066
250,75.132,92.086,2.472,1.065
251,75.172,92.108,2.471,1.065
252,75.138,92.106,2.468,1.065
253,75.170,92.148,2.466,1.065
254,75.180,92.140,2.465,1.065
255,75.148,92.134,2.463,1.065
256,75.176,92.154,2.460,1.065
257,75.224,92.164,2.459,1.064
258,75.210,92.192,2.460,1.064
259,75.228,92.160,2.454,1.065
260,75.308,92.148,2.456,1.064
261,75.276,92.160,2.451,1.064
262,75.230,92.186,2.449,1.064
263,75.224,92.172,2.451,1.063
264,75.254,92.170,2.445,1.063
265,75.206,92.208,2.445,1.063
266,75.264,92.204,2.444,1.063
267,75.286,92.166,2.441,1.063
268,75.256,92.148,2.440,1.063
269,75.224,92.152,2.438,1.063
270,75.270,92.162,2.437,1.063
271,75.288,92.168,2.435,1.063
272,75.274,92.154,2.434,1.063
273,75.238,92.184,2.432,1.063
274,75.302,92.190,2.431,1.062
275,75.294,92.210,2.430,1.062
276,75.312,92.208,2.430,1.062
277,75.350,92.218,2.428,1.062
278,75.358,92.240,2.425,1.062
279,75.358,92.216,2.424,1.061
280,75.360,92.214,2.418,1.061
281,75.348,92.206,2.422,1.061
282,75.294,92.192,2.419,1.060
283,75.388,92.198,2.417,1.060
284,75.406,92.212,2.416,1.060
285,75.386,92.262,2.414,1.060
286,75.414,92.240,2.415,1.060
287,75.422,92.256,2.412,1.060
288,75.418,92.256,2.409,1.060
289,75.412,92.290,2.408,1.060
290,75.348,92.300,2.406,1.060
291,75.300,92.314,2.409,1.060
292,75.320,92.324,2.403,1.060
293,75.324,92.332,2.404,1.060
294,75.282,92.280,2.402,1.060
295,75.320,92.320,2.401,1.060
296,75.300,92.280,2.400,1.060
297,75.262,92.280,2.395,1.060
298,75.302,92.298,2.395,1.060
299,75.260,92.286,2.398,1.060
300,75.206,92.290,2.393,1.060
301,75.216,92.298,2.392,1.060
302,75.230,92.298,2.390,1.060
303,75.246,92.278,2.387,1.060
304,75.224,92.282,2.388,1.060
305,75.296,92.272,2.385,1.059
306,75.290,92.252,2.389,1.059
307,75.326,92.250,2.382,1.060
308,75.354,92.246,2.384,1.060
309,75.396,92.246,2.381,1.060
310,75.420,92.232,2.381,1.060
311,75.410,92.212,2.382,1.060
312,75.426,92.220,2.378,1.060
313,75.414,92.218,2.378,1.060
314,75.412,92.250,2.376,1.060
315,75.404,92.266,2.377,1.060
316,75.406,92.286,2.372,1.059
317,75.388,92.278,2.371,1.060
318,75.348,92.268,2.371,1.060
319,75.388,92.280,2.366,1.060
320,75.376,92.294,2.367,1.060
321,75.408,92.292,2.367,1.060
322,75.370,92.284,2.368,1.059
323,75.346,92.310,2.366,1.059
324,75.412,92.276,2.363,1.059
325,75.450,92.260,2.363,1.059
326,75.464,92.274,2.362,1.059
327,75.446,92.270,2.360,1.059
328,75.472,92.296,2.358,1.059
329,75.474,92.272,2.356,1.059
330,75.474,92.254,2.357,1.059
331,75.484,92.254,2.355,1.059
332,75.482,92.250,2.357,1.059
333,75.460,92.264,2.354,1.059
334,75.470,92.292,2.352,1.059
335,75.478,92.278,2.353,1.058
336,75.472,92.274,2.353,1.058
337,75.474,92.296,2.348,1.058
338,75.484,92.320,2.348,1.058
339,75.488,92.344,2.347,1.058
